tenure_months,monthly_charges,total_charges,num_services,senior_citizen,contract_type,internet_service,tech_support,payment_method,churned
6,23.39,136.05,1,0,one-year,fiber,no,bank-transfer,1
55,88.3,4779.78,4,1,month-to-month,none,yes,mailed-check,0
47,115.05,5931.54,4,0,month-to-month,dsl,yes,bank-transfer,0
31,102.92,2925.19,6,1,two-year,fiber,no,electronic-check,0
31,47.72,1364.42,5,1,one-year,dsl,yes,bank-transfer,0
61,25.33,1525.16,2,0,month-to-month,fiber,no,mailed-check,0
6,114.04,638.98,3,0,one-year,fiber,no,electronic-check,0
50,113.71,5895.67,4,0,month-to-month,dsl,no,credit-card,1
14,73.24,996.79,7,1,two-year,fiber,no,electronic-check,0
6,84.23,540.37,4,0,one-year,dsl,no,bank-transfer,1
37,66.26,2573.52,5,0,month-to-month,fiber,no,credit-card,0
70,61.98,4313.27,6,0,month-to-month,dsl,no,credit-card,0
52,31.94,1775.47,3,0,month-to-month,fiber,no,bank-transfer,0
54,29.68,1474.76,7,0,one-year,dsl,no,bank-transfer,0
51,43.27,2242.56,5,0,month-to-month,fiber,no,bank-transfer,0
56,103.66,5927.02,6,1,one-year,dsl,yes,credit-card,0
36,34.58,1181.65,6,0,month-to-month,fiber,no,credit-card,0
9,42.67,349.44,5,0,month-to-month,dsl,no,mailed-check,1
60,74.86,4523.22,1,1,month-to-month,dsl,yes,mailed-check,0
32,41.51,1331.95,5,0,month-to-month,fiber,yes,electronic-check,0
36,36.32,1347.69,1,0,month-to-month,fiber,yes,credit-card,0
26,76.33,1870.64,5,1,one-year,fiber,no,credit-card,0
13,56.81,691.21,5,0,two-year,fiber,no,bank-transfer,0
66,82.62,5974.13,4,1,month-to-month,fiber,yes,bank-transfer,1
56,111.22,5747.11,3,0,one-year,none,no,electronic-check,0
46,35.1,1775.87,1,0,month-to-month,fiber,no,credit-card,0
28,111.34,3254.68,5,0,one-year,none,no,electronic-check,0
59,110.25,6672.99,5,0,month-to-month,none,no,bank-transfer,0
39,102.91,3884.88,4,0,one-year,fiber,yes,mailed-check,1
31,83.13,2766.6,6,1,month-to-month,dsl,yes,mailed-check,1
32,82.01,2839.55,6,1,month-to-month,fiber,no,electronic-check,0
16,83.92,1402.31,4,0,one-year,fiber,no,electronic-check,1
6,89.05,556.73,1,1,month-to-month,dsl,no,mailed-check,1
39,21.65,843.19,7,1,month-to-month,dsl,yes,mailed-check,0
63,115.81,6680.0,4,1,month-to-month,dsl,no,credit-card,0
4,78.56,345.6,5,1,two-year,fiber,no,bank-transfer,1
61,98.15,5407.06,7,0,month-to-month,fiber,no,electronic-check,1
59,57.73,3402.93,3,0,month-to-month,dsl,yes,credit-card,0
19,21.24,392.84,5,1,two-year,fiber,no,bank-transfer,0
45,70.97,3370.02,1,1,one-year,fiber,no,credit-card,0
11,70.72,814.6,7,1,month-to-month,none,yes,credit-card,0
54,63.7,3527.89,1,0,one-year,dsl,no,bank-transfer,0
50,53.97,2468.99,4,1,month-to-month,dsl,no,electronic-check,0
25,44.98,1065.32,3,0,month-to-month,dsl,yes,mailed-check,0
4,72.75,267.38,1,1,month-to-month,fiber,yes,bank-transfer,1
69,57.53,4349.84,4,0,one-year,dsl,no,electronic-check,0
32,116.99,3464.99,7,0,two-year,dsl,yes,credit-card,0
64,37.29,2609.56,2,1,month-to-month,fiber,yes,mailed-check,0
48,51.97,2301.34,3,1,month-to-month,fiber,no,bank-transfer,1
56,49.4,2966.81,2,0,month-to-month,dsl,no,credit-card,0
54,74.33,4073.73,1,0,month-to-month,dsl,no,credit-card,1
14,69.93,1043.97,2,0,month-to-month,dsl,no,bank-transfer,1
26,84.37,2252.42,5,0,one-year,dsl,no,mailed-check,0
33,115.0,3999.05,6,1,month-to-month,fiber,no,bank-transfer,1
35,48.52,1776.59,5,0,two-year,dsl,yes,bank-transfer,0
3,89.28,254.99,6,0,month-to-month,dsl,yes,credit-card,0
39,22.5,953.85,6,1,month-to-month,none,no,electronic-check,0
11,46.24,523.25,3,1,month-to-month,none,no,electronic-check,0
53,66.37,3308.02,7,0,one-year,dsl,yes,electronic-check,0
49,23.1,1087.99,2,1,month-to-month,fiber,no,credit-card,0
66,81.77,5432.49,5,1,month-to-month,dsl,no,bank-transfer,0
53,87.83,5010.47,1,1,month-to-month,fiber,no,bank-transfer,0
26,94.67,2607.51,6,0,one-year,none,no,electronic-check,0
69,71.66,4748.78,1,1,two-year,fiber,yes,electronic-check,0
29,80.39,2419.19,2,1,month-to-month,fiber,no,bank-transfer,1
23,59.61,1234.38,3,1,month-to-month,dsl,yes,bank-transfer,0
65,24.13,1515.95,5,1,month-to-month,dsl,no,mailed-check,0
26,30.0,832.98,1,0,month-to-month,fiber,yes,electronic-check,0
5,85.5,397.68,2,1,two-year,dsl,no,mailed-check,0
33,119.56,3829.79,3,1,month-to-month,fiber,yes,bank-transfer,1
57,21.58,1107.31,6,1,one-year,fiber,no,electronic-check,0
13,75.76,890.95,7,1,two-year,dsl,yes,mailed-check,0
33,95.1,2916.12,5,0,one-year,fiber,yes,bank-transfer,0
9,102.68,850.53,4,1,month-to-month,fiber,yes,electronic-check,1
49,74.52,3643.98,3,1,one-year,fiber,no,electronic-check,0
34,81.99,3010.68,6,1,month-to-month,fiber,no,bank-transfer,1
23,89.67,1891.08,1,1,month-to-month,fiber,no,electronic-check,1
16,105.9,1819.73,1,1,two-year,dsl,no,mailed-check,1
40,32.23,1332.56,2,0,month-to-month,fiber,yes,bank-transfer,0
48,112.62,5047.79,2,1,month-to-month,fiber,no,electronic-check,1
67,22.6,1450.52,4,1,month-to-month,dsl,yes,bank-transfer,0
31,103.62,3015.75,7,0,month-to-month,none,no,credit-card,1
11,27.67,321.98,5,0,one-year,fiber,no,credit-card,0
59,39.46,2432.95,3,0,one-year,dsl,no,mailed-check,0
45,20.39,881.66,2,0,one-year,dsl,yes,mailed-check,0
50,64.53,2938.91,5,1,month-to-month,none,no,bank-transfer,0
7,53.44,349.3,2,0,month-to-month,none,no,bank-transfer,0
22,36.6,826.12,7,1,month-to-month,dsl,no,bank-transfer,0
55,65.11,3287.67,4,0,month-to-month,fiber,yes,mailed-check,0
59,60.24,3580.08,4,0,one-year,dsl,no,electronic-check,0
31,96.77,3067.62,7,1,one-year,fiber,yes,electronic-check,0
57,109.31,6464.64,3,0,two-year,fiber,no,credit-card,0
60,85.26,4732.29,4,1,one-year,dsl,yes,mailed-check,0
